,Прибыль в расчете на 1 работника
9601,863500.0
5947,2446000.0
16162,146500.0
11760,2819470.8095297236
13619,1544250.0
3460,232250.0
18754,570750.0
18530,-660000.0
3335,-73681.81818181818
16466,35551.282051282054
16409,2819470.8095297236
14484,17473.684210526317
9405,1167333.3333333333
19620,28000.0
14954,-52769.230769230766
4191,2143115.3846153845
12937,330000.0
7030,904000.0
1886,24833.333333333332
12875,-111833.33333333333
1246,2819470.8095297236
11566,194641.79104477612
9703,-176625.0
5325,191277.9661016949
18081,263752.21238938055
4477,273000.0
3598,-852275.7575757576
5884,997222.2222222222
13881,87000.0
13224,-289142.85714285716
13544,-9000.0
5147,681125.0
18029,-852275.7575757576
4777,1091909.0909090908
13530,7197.674418604651
4222,326215.6862745098
17423,1774000.0
7793,79000.0
1503,2819470.8095297236
1716,751653.8461538461
5180,-97319.67213114754
6019,584165.1376146789
7937,28121.951219512193
15975,11545.454545454546
2496,439000.0
10960,-615977.7777777778
394,2819470.8095297236
17597,576611.1111111111
9960,523635.6589147287
10312,378567.0103092783
76,-123333.33333333333
12364,860016.6666666666
8041,-322450.98039215687
1520,-26000.0
6357,13000.0
1061,2793000.0
7060,2819470.8095297236
15459,509307.6923076923
1873,1031666.6666666666
15061,-35040.54054054054
18562,1578750.0
6216,102000.0
10562,-582000.0
1994,1254843.75
4366,11500.0
15154,49750.0
9307,1567125.0
16978,32750.0
16148,1289000.0
12029,101750.0
7051,249000.0
10427,327000.0
4444,1593705.8823529412
18683,49000.0
15023,220370.37037037036
3694,2327611.111111111
1212,2546500.0
16492,96111.11111111111
15694,336000.0
16819,14222.222222222223
7535,322300.0
12554,410166.6666666667
13350,35500.0
18307,-165142.85714285713
1669,48641.08910891089
7745,2819470.8095297236
1975,1877500.0
18605,634454.5454545454
766,280000.0
4960,-22115.384615384617
2025,1507700.0
8203,2819470.8095297236
9037,484000.0
5644,622312.5
1644,-114275.86206896552
15553,235166.66666666666
14060,-254250.0
7828,1403500.0
11524,153333.33333333334
17184,-245875.0
12478,275375.0
3282,-180607.47663551403
7311,254000.0
17927,29800.0
14540,50000.0
3777,-181000.0
11185,2176.470588235294
5656,521466.6666666667
16904,-506875.0
19544,42000.0
18960,47687.94326241135
18302,22166.666666666668
9791,2429250.0
12802,495000.0
16974,270887.9310344828
3513,2519595.744680851
4651,2819470.8095297236
855,315419.7530864198
10448,44000.0
2048,-852275.7575757576
16142,2269400.0
1444,260831.16883116882
6365,155500.0
6274,430222.22222222225
14963,30333.333333333332
1380,2819470.8095297236
14083,-88500.0
18747,-497700.0
14516,35720.0
14792,-452904.7619047619
9936,418068.0272108844
14825,577400.0
3902,26000.0
16884,-2250.0
11129,428058.82352941175
4703,1383100.0
2443,2819470.8095297236
19113,337833.3333333333
5573,2819470.8095297236
15749,895545.4545454546
4333,42333.333333333336
14091,-30500.0
17408,577666.6666666666
19220,1207115.3846153845
2071,2819470.8095297236
17791,-203000.0
4281,-852275.7575757576
1751,-443059.880239521
13242,454321.4285714286
18461,-70207.79220779221
5039,2819470.8095297236
2152,62000.0
8211,315822.5806451613
4377,-707928.5714285715
9417,1482677.9661016949
18520,369816.32653061225
10353,84428.57142857143
7065,2819470.8095297236
19725,593600.0
10870,-852275.7575757576
9824,837627.9069767442
16806,-536333.3333333334
16246,25000.0
2446,1572000.0
18051,895783.9116719243
7422,1935937.5
8759,-852275.7575757576
10423,29603.44827586207
3992,67800.0
18902,-36863.87434554974
19852,-238658.73015873015
2247,-215714.2857142857
1697,442840.0
9436,882500.0
549,2101666.6666666665
2321,1002000.0
7632,2819470.8095297236
1997,40834.8623853211
2824,642000.0
11773,831300.0
10708,-700000.0
6065,885571.4285714285
8722,870600.0
2741,132250.0
3676,269892.1568627451
16911,2819470.8095297236
16672,-37880.281690140844
15287,2819470.8095297236
19054,361194.44444444444
19024,416011.583011583
19987,327142.85714285716
5701,-57026.086956521736
9891,1755500.0
3886,1800.0
18132,-113000.0
17697,47419.04761904762
11208,169666.66666666666
3116,52500.0
2775,-772826.0869565217
10511,1151000.0
16558,-852275.7575757576
6327,189000.0
4745,-852275.7575757576
12566,17000.0
1979,804357.1428571428
3497,87480.0
14431,225000.0
7001,178000.0
11161,2425800.0
19466,2785200.0
708,1172400.0
1825,431062.5
6513,454000.0
2622,71722.22222222222
5726,830093.3333333334
13862,-141305.08474576272
4585,669529.4117647059
803,869172.4137931034
19849,-666.6666666666666
3505,25500.0
5567,-675585.3658536585
18397,1151500.0
3136,-852275.7575757576
17115,802000.0
18374,625750.0
5639,647235.2941176471
6334,486285.71428571426
5273,2819470.8095297236
18004,126500.0
17845,76000.0
10089,71000.0
16128,295385.24590163934
9033,-26666.666666666668
5660,2819470.8095297236
11056,79307.69230769231
2576,97000.0
19062,-210802.32558139536
9877,1920200.0
3066,11000.0
9648,86277.77777777778
2531,2819470.8095297236
19161,724000.0
17617,372534.88372093026
1078,-852275.7575757576
3825,117000.0
1261,1810000.0
9687,-59100.0
15619,64666.666666666664
6364,87666.66666666667
3978,2482500.0
5492,192707.779886148
6108,12400.0
10712,2819470.8095297236
755,2819470.8095297236
8496,242000.0
11077,449000.0
9783,1064300.0
14968,347500.0
16619,627612.2448979592
3939,5800.0
9868,265823.5294117647
16038,-108777.77777777778
15313,272428.5714285714
7909,111500.0
6945,-678000.0
17915,592200.0
19504,-160000.0
12194,4400.0
2924,22682.69230769231
19855,569549.4505494506
10496,2819470.8095297236
16655,2819470.8095297236
7539,-852275.7575757576
11986,2819470.8095297236
9819,1088324.3243243243
18436,193761.90476190476
14283,-316666.6666666667
1439,359244.2748091603
12605,276000.0
11837,502000.0
11892,-507000.0
15920,-852275.7575757576
17452,650500.0
16262,1926000.0
6785,-269666.6666666667
19486,135545.52997303463
12771,-775000.0
10557,305625.0
14340,15500.0
306,-716000.0
6488,1601914.8936170214
8166,-688171.4285714285
16990,-58000.0
9738,2819470.8095297236
11626,2328894.17989418
6872,2365168.0
17072,651285.7142857143
927,2819470.8095297236
6304,58214.28571428572
6824,57000.0
383,2819470.8095297236
16135,-781000.0
3874,162869.5652173913
8544,2819470.8095297236
3005,-92476.19047619047
13813,1686000.0
9886,506296.2962962963
16229,620333.3333333334
7046,17264.70588235294
18952,1190750.0
16717,1702969.696969697
5498,687531.6455696203
3809,16680.41237113402
14805,1641000.0
17392,394857.14285714284
7192,236000.0
9094,864485.2941176471
4201,943800.0
5471,869125.0
4483,21666.666666666668
16098,861222.2222222222
11669,-852275.7575757576
1513,1062000.0
18620,2819470.8095297236
16643,1544000.0
7002,2819470.8095297236
12281,1554150.2145922747
928,93233.64485981308
6392,2819470.8095297236
4720,151333.33333333334
17362,-231548.38709677418
781,342888.8888888889
8643,240362.63736263735
19094,182394.64285714287
3218,493666.6666666667
9753,-20538.46153846154
5785,568500.0
5419,736763.1578947369
5678,10179.48717948718
5263,2685704.5454545454
13557,129400.0
372,923500.0
14878,2819470.8095297236
10482,2819470.8095297236
4973,294693.3333333333
9749,388.8888888888889
6449,-161250.0
7559,245685.7142857143
12729,-49166.666666666664
10648,5000.0
10882,2819470.8095297236
6087,2819470.8095297236
4542,304250.0
14585,-293714.28571428574
17446,-852275.7575757576
9593,2183608.695652174
5889,258480.0
2788,81617.02127659574
13645,106945.73643410853
14433,268400.0
16476,1231533.3333333333
3173,40333.333333333336
735,17666.666666666668
6557,1069833.3333333333
18994,-356555.55555555556
5475,317231.884057971
1767,567757.1428571428
8891,250666.66666666666
773,1674565.2173913044
636,2819470.8095297236
15086,228086.95652173914
13157,370654.1176470588
19908,142200.0
8197,378970.5882352941
1893,-231000.0
3625,270456.1403508772
2242,-852275.7575757576
919,2819470.8095297236
10086,1701500.0
7369,2819470.8095297236
10105,629895.6834532374
8081,2819470.8095297236
12273,-747500.0
1939,-139544.30379746837
7949,-430000.0
5424,-436142.85714285716
18813,1664785.7142857143
7296,71333.33333333333
8306,-852275.7575757576
5020,-30000.0
8892,496178.5714285714
4551,654500.0
5793,2819470.8095297236
17738,-104575.47169811321
5826,-93333.33333333333
5307,36840.57971014493
10486,955000.0
15386,195000.0
10961,45916.666666666664
15773,230600.0
8612,65000.0
317,531000.0
264,29851.063829787236
3184,552625.0
1159,2819470.8095297236
15113,218794.11764705883
8974,2819470.8095297236
9112,-404666.6666666667
16723,-104225.66690699352
4301,-108500.0
5932,529619.3548387097
6896,-458000.0
17356,310250.0
17895,-852275.7575757576
6159,92300.0
13899,-101302.32558139534
15142,584285.7142857143
5210,155500.0
2053,564947.3684210526
11803,140692.3076923077
15281,4000.0
12339,-31900.0
1606,1311168.4210526317
8314,-358000.0
4343,5416.666666666667
15321,190869.5652173913
3760,1085142.857142857
8163,107994.91094147583
13376,2819470.8095297236
8783,654628.5714285715
16218,1410000.0
3109,221500.0
9907,2819470.8095297236
13371,121000.0
10684,888653.0612244898
13153,-63327.48538011696
5590,2128.2051282051284
18500,78000.0
6500,2819470.8095297236
12166,-852275.7575757576
19043,-852275.7575757576
1443,2484714.285714286
17084,1889000.0
5169,-146011.62790697673
3504,-852275.7575757576
17971,413793.65079365077
5456,2819470.8095297236
8725,-836317.4603174604
19484,227422.64150943398
3918,807078.947368421
6485,2819470.8095297236
15727,-852275.7575757576
1287,37000.0
7656,1502346.1538461538
13960,2819470.8095297236
16327,-162750.0
11702,480333.3333333333
2983,-852275.7575757576
14152,209423.7288135593
13698,556500.0
4040,2819470.8095297236
14513,2819470.8095297236
10713,-126593.75
14418,1883131.5789473683
6082,-228500.0
8591,531307.6923076923
11271,170152.1739130435
762,2819470.8095297236
8672,2819470.8095297236
13712,433400.0
6478,11000.0
1586,-852275.7575757576
168,49000.0
5987,354810.8108108108
1405,504250.0
3807,2750632.2067594435
18659,20228.571428571428
2776,-852275.7575757576
9742,218500.0
13139,307065.9251769464
14943,86645.16129032258
10602,425500.0
6926,76361.44578313253
19088,112310.75697211156
241,365076.92307692306
11184,38500.0
18319,-852275.7575757576
16765,328000.0
2529,1212400.0
10837,84545.45454545454
18930,2819470.8095297236
2863,261000.0
17203,1160148.148148148
1497,1864500.0
10099,-121519.23076923077
16533,1009444.4444444445
2528,2819470.8095297236
5610,537000.0
11521,559000.0
18968,547000.0
15336,-852275.7575757576
11542,2819470.8095297236
5269,966375.0
10540,-122274.50980392157
1267,2819470.8095297236
11549,-309000.0
13786,1039105.2631578947
4298,2819470.8095297236
19253,2819470.8095297236
17963,472066.6666666667
3633,596860.0
9719,-36000.0
13582,744934.7826086957
11427,378288.04347826086
12977,832133.3333333334
8024,749500.0
12901,520400.0
7655,2819470.8095297236
17886,1283000.0
12884,70666.66666666667
9658,32200.0
802,733750.0
14712,74600.0
14044,-619428.5714285715
2469,1347750.0
19531,1805000.0
3804,877873.6842105263
5956,63300.0
12814,1020000.0
10389,2819470.8095297236
16930,26078.947368421053
19739,10500.0
17259,923105.2631578947
8989,2819470.8095297236
12231,2819470.8095297236
9069,952282.6086956522
5497,1803000.0
16518,-852275.7575757576
11295,337516.12903225806
12795,205655.1724137931
19178,313055.55555555556
15946,1056900.0
11441,1500.0
13524,1630000.0
7442,2819470.8095297236
14880,454500.0
3193,236835.44303797468
14689,-310558.82352941175
6625,-852275.7575757576
2883,2819470.8095297236
723,-100555.55555555556
6310,193842.1052631579
17917,-98041.66666666667
3354,-279137.2549019608
7868,178250.0
1749,1103386.3636363635
11976,200.0
2357,116797.61904761905
2504,47000.0
