,Прибыль в расчете на 1 работника,"Возраст компании, лет",Чистые активы на 1 работника,Налоговая нагрузка,Налоги на 1 работника,Кредиторская задолженность на 1 работника,Фондовооруженность,Доля внеоборотных активов в общих,"2021, Коэффициент оборачиваемости совокупных активов, %","2021, Соотношение чистого долга к капиталу, %","2021, Коэффициент концентрации собственного капитала (автономии), %","2021, Коэффициент маневренности собственных средств, %","2021, Доля себестоимости как процент от выручки, %"
0,77000.0,4.5,10000.0,0.17469942196531793,272007.0,2516000.0,0.0,0.0,0.3088,1.0142499999999999,0.0014,1.0,0.9505
1,-261250.0,3.5,700750.0,0.040448598130841125,73576.0,497000.0,1941250.0,0.6840806977358823,0.6926,1.0142499999999999,0.2469,-1.1736,1.1436
2,55500.0,20.5,419750.0,0.09650433490215507,97397.0,220250.0,0.0,0.0,1.5453,-0.1668,0.6559,1.0,0.945
3,1456538.4615384615,7.5,2005769.2307692308,0.027553745528033427,155220.84615384616,2267923.076923077,1767153.8461538462,0.3429415450720616,1.418,0.0098,0.389,0.1185,0.7414
5,-257000.0,17.5,-569000.0,0.2082711557218187,116484.0,2340000.0,2787000.0,0.8483707101654526,0.0825,-0.83215,-0.2024,1.4091099999999988,1.4744000000000002
6,112608.69565217392,16.0,1799130.4347826086,0.04595192799735107,66372.56521739131,141565.21739130435,695913.0434782609,0.35115508654922006,0.7761,-0.0136,0.9078,0.6132,0.8588
8,-852275.7575757576,21.0,2511285.714285714,0.0825365573114623,441045.06678921566,55285.71428571428,302714.28571428574,0.11794500723589002,1.166,-0.0002,0.9785,0.8795,1.4226
10,323000.0,7.5,756636.3636363636,0.0710389626202362,159120.81818181818,124000.0,160181.81818181818,0.1818932590069165,2.3514,-0.4538,0.8592,0.7883,0.8558
11,1083059.3220338982,11.0,5087779.661016949,0.042717131984338984,138507.04237288135,62872.8813559322,2322491.525423729,0.44058216122451277,0.6755,-0.171,0.9652,0.5435,0.666
12,238465.64885496182,21.5,1098832.0610687023,0.11676664879309435,202803.1679389313,115625.95419847328,584618.320610687,0.4415925390912086,1.2379,0.1819,0.7296,0.3947,0.8076
13,1007222.2222222222,29.5,3506722.222222222,0.05444681178239475,177036.83333333334,81166.66666666667,2111277.777777778,0.4899289939303342,0.8078,0.1943,0.8134,0.3977,0.6902
14,1051000.0,3.5,-2505350.0,0.01098756931608133,237771.0,0.0,0.0,0.0,2.3514,-0.83215,-0.6814250000000001,1.0,0.9514
15,1260000.0,13.0,1620000.0,0.06535046521931767,147496.0,3284331.8965517236,0.0,0.0,0.2109,-0.0117,0.1224,1.0,0.4417
16,807803.3707865168,12.5,3192764.04494382,0.032844413658714815,96964.08988764045,1157859.5505617978,1566893.2584269664,0.27123379591360414,0.5827,0.4397,0.5527,0.5052,0.6983
18,24000.0,4.5,1622956.5217391304,0.03161863282005026,106685.39130434782,99391.30434782608,627652.1739130435,0.36441662038673195,1.5781,-0.01,0.9423,0.6133,0.9929
19,-78000.0,9.0,1463000.0,0.2082711557218187,28096.7,177000.0,1011000.0,0.5037369207772795,0.042170000000000006,0.2461,0.7289,0.309,1.4744000000000002
20,-761800.0,4.0,-962000.0,0.2082711557218187,63618.2,80800.0,980000.0,0.22051812539354143,0.042170000000000006,-0.83215,-0.2163,1.4091099999999988,0.9267
21,520466.6666666667,21.5,3490733.3333333335,0.0921367679558011,222356.73333333334,452600.0,3355133.3333333335,0.8483707101654526,0.7532,-0.0334,0.8852,-0.4111,0.7843
23,12166.666666666666,4.0,615083.3333333334,0.05135604420175583,363660.7083333333,1679958.3333333333,1823500.0,0.782788277576126,2.3514,-0.0597,0.264,-1.1736,0.9983
24,42000.0,16.0,450500.0,0.03980876044253782,88156.5,0.0,0.0,0.0,2.3514,-0.0377,0.9958,1.0,0.981
28,1000.0,11.0,-2505350.0,0.2082711557218187,98293.0,1306000.0,0.0,0.5859504132231405,0.1403,-0.83215,-0.6814250000000001,1.2532,0.9942
29,165666.66666666666,11.5,855000.0,0.02414686777496422,73108.66666666667,0.0,428333.3333333333,0.3487109905020353,2.3514,0.4117,0.6961,0.499,0.8914
30,549000.0,17.0,4408000.0,0.06226045883940621,46135.0,0.0,0.0,0.0,0.0839,0.8863,0.5011,1.0,0.35914
31,-852275.7575757576,15.0,-536200.0,0.2082711557218187,430902.4,3190700.0,8748011.723602485,0.17646661993754093,0.042170000000000006,-0.83215,-0.0088,1.4091099999999988,1.1397
32,252600.0,8.0,862000.0,0.07567713414634146,248221.0,940800.0,3227600.0,0.8215649340732067,0.6824,0.4527,0.2194,-1.1736,0.6951
33,126486.11111111111,12.5,1128791.6666666667,0.06509313106202624,88736.40277777778,170819.44444444444,974750.0,0.5185352560152281,0.7365,0.6238,0.5565,0.0682,0.8246
34,1015877.5510204082,18.0,3395346.93877551,0.0478617500398241,202348.73469387754,649836.7346938775,2480122.448979592,0.4385003969113084,0.8072,0.4445,0.6003,0.2696,0.608
35,65195.65217391304,28.0,-1914206.5217391304,0.06561544529855616,181418.6231884058,3284331.8965517236,1365833.3333333333,0.41418252524398586,0.871,0.0094,-0.5801,1.4091099999999988,0.9452
36,-703028.5714285715,12.5,12887828.57142857,0.2082711557218187,441045.06678921566,3284331.8965517236,1009428.5714285715,0.2583414129528751,0.042170000000000006,0.0313,0.4648,0.4379,1.4744000000000002
38,172923.07692307694,12.5,1385285.7142857143,0.0673575157564446,109456.7032967033,304076.92307692306,1635978.021978022,0.603701097776463,0.6582,0.6102,0.504,-0.1979,0.8936
39,-385166.6666666667,18.0,-2505350.0,0.2082711557218187,267775.8333333333,3284331.8965517236,0.0,0.00976832837920628,0.0532,-0.83215,-0.3267,1.0299,0.35914
40,-465203.61247947457,11.5,3598200.3284072247,0.10158191515766016,157929.8538587849,1134134.6469622331,4271906.403940886,0.5675246545468778,0.202,0.9169,0.4467,-0.2705,1.1521
41,786385.5421686746,5.5,1885698.7951807228,0.024430791843324393,82407.4156626506,659746.9879518072,2744475.9036144577,0.5879554590846426,0.6679,1.0142499999999999,0.3297,-0.7835,0.6682
42,2819470.8095297236,11.5,7701000.0,0.009425363974742031,143189.0,0.0,10000.0,0.001298532658096351,2.3514,-0.83215,0.9958,0.9987,0.6294
44,417926.4705882353,18.0,-2505350.0,0.10110131775956058,359465.73529411765,1076014.705882353,743014.7058823529,0.2044117055106066,1.0504,-0.83215,-0.6814250000000001,1.2267,0.7932
45,27941.176470588234,12.0,1889470.5882352942,0.2082711557218187,168834.88235294117,1950705.8823529412,4692705.882352941,0.7634797588285961,0.1135,1.0142499999999999,0.3074,-1.1736,0.9592
48,10000.0,7.0,-126000.0,0.08430434782608695,28096.7,347000.0,0.0,0.0,0.042170000000000006,-0.83215,-0.0759,1.0,0.5652
49,-285236.1111111111,29.5,751347.2222222222,0.0897920665134674,126448.43055555556,731750.0,1899069.4444444445,0.5719227358664191,0.3847,1.0142499999999999,0.2263,-1.1736,1.2025
50,-852275.7575757576,22.0,13879430.555555556,0.009425363974742031,45637.333333333336,421333.3333333333,8748011.723602485,0.6245111685557102,0.4607,-0.0038,0.95,-0.3081,1.2394
51,2588400.0,6.0,7970600.0,0.02286232082713245,116753.3,106800.0,8748011.723602485,0.6984461215583261,0.4303,0.0621,0.5539,-0.2609,0.4931
52,191500.0,19.5,6165500.0,0.038930217391304346,89539.5,1500.0,4676500.0,0.7583103616020755,0.3786,-0.001,0.9958,0.2415,0.8633
53,12000.0,24.0,663000.0,0.2082711557218187,284413.0,1125000.0,1256000.0,0.7024608501118568,0.4699,-0.003,0.3708,-0.8944,0.9863
54,103521.73913043478,18.5,2576260.8695652173,0.049508022233610595,54603.04347826087,256782.60869565216,1974217.391304348,0.6926142293668759,0.3432,-0.0029,0.8032,0.1376,0.9061
55,137833.33333333334,5.0,1310000.0,0.026055610236220474,35296.666666666664,135833.33333333334,127500.0,0.08818443804034583,0.9223,-0.0001,0.9061,0.9027,0.8983
58,-45652.17391304348,11.0,267826.0869565217,0.2082711557218187,73113.78260869565,294173.9130434783,698173.9130434783,0.6098283457390248,0.2687,1.0142499999999999,0.2339,-1.1736,1.1475
59,161444.44444444444,15.0,1517222.2222222222,0.06515753279729158,136859.77777777778,34333.333333333336,1193444.4444444445,0.769192208536236,1.307,-0.0735,0.9779,0.2134,0.9062
60,1116583.3333333333,12.5,5273666.666666667,0.04123894568110331,113627.04166666667,328541.6666666667,2194416.6666666665,0.34036255533654314,0.4861,0.1004,0.818,0.5839,0.5642
61,-455000.0,9.5,834666.6666666666,0.15852159013022618,77094.33333333333,92333.33333333333,303333.3333333333,0.06577996241145005,0.1654,-0.622,0.181,-1.1736,1.2467
62,384666.6666666667,14.0,10541666.666666666,0.20172648856879657,441045.06678921566,31333.333333333332,2185000.0,0.20650872660827926,0.2679,-0.3363,0.9958,0.7927,0.6654
64,109000.0,12.5,3051000.0,0.06755445544554456,95522.0,31000.0,89000.0,0.8483707101654526,0.4572,-0.0013,0.9804,0.0501,0.9229
67,-250080.64516129033,17.5,1659838.7096774194,0.054131701577389967,74944.46774193548,520451.6129032258,1620419.3548387096,0.550028952247385,0.4741,0.5178,0.5467,-0.0185,1.0748
68,423877.6595744681,23.0,8248526.595744681,0.16119959408016749,254749.37765957447,63313.82978723404,8748011.723602485,0.8483707101654526,0.1136,0.9489,0.5941,-0.856,0.7022
69,693000.0,6.0,3013000.0,0.035016953378209925,140453.0,519000.0,0.0,0.0,1.1184,-0.0372,0.8531,1.0,0.35914
70,73000.0,11.0,988000.0,0.2082711557218187,197615.0,6000.0,0.0,0.0,0.2356,-0.0314,0.994,1.0,0.7103
71,2819470.8095297236,4.5,4989500.0,0.03888774222053904,441045.06678921566,3284331.8965517236,0.0,0.0,1.7207,0.0452,0.2291,1.0,0.85
73,1968333.3333333333,7.5,4988333.333333333,0.021686467304919972,195561.33333333334,3103666.6666666665,0.0,0.0,1.5439,-0.3764,0.6165,1.0,0.7817
74,199991.83673469388,6.5,378259.1836734694,0.03795026183056845,148654.35102040815,357553.0612244898,2622810.2040816327,0.7016989059314782,0.8686,1.0142499999999999,0.0854,-1.1736,0.8199
75,107000.0,6.0,347000.0,0.009425363974742031,48874.0,2000.0,0.0,0.0,2.3514,-0.0029,0.9943,1.0,0.9925
76,-123333.33333333333,16.5,925333.3333333334,0.009425363974742031,28096.7,224666.66666666666,0.0,0.0,2.3514,-0.4888,0.9958,1.0,1.0851
77,19500.0,14.0,2654400.0,0.03900125959006069,34059.8,0.0,1347000.0,0.6491814744388346,0.1923,0.1122,0.5802,-0.119,0.9777
79,2819470.8095297236,4.0,13146000.0,0.034043243956624065,441045.06678921566,1012285.7142857143,8748011.723602485,0.47741552874762594,1.246,0.0686,0.6908,0.3089,0.5859
80,-746000.0,24.5,2474000.0,0.2082711557218187,229370.0,28000.0,859000.0,0.34332533972821744,0.4082,-0.2688,0.9888,0.6528,1.4744000000000002
82,2819470.8095297236,17.5,2869000.0,0.10274163710086164,441045.06678921566,2309000.0,4230000.0,0.816917728852839,1.844,-0.1155,0.5541,-0.4744,0.5793
83,1246000.0,3.5,992000.0,0.009425363974742031,149904.0,3284331.8965517236,0.0,0.0,2.3514,-0.83215,0.0455,1.0,0.9567
85,1566323.5294117648,6.0,2673294.117647059,0.023830777072208143,149891.38235294117,2880602.9411764704,7653279.411764706,0.7360140181562843,0.6796,1.0142499999999999,0.2571,-1.1736,0.7395
86,237000.0,10.5,-720000.0,0.053774493243243245,106115.0,244333.33333333334,0.0,0.0,2.3022,-0.83215,-0.6353,1.0,0.8799
88,2097397.0588235296,20.0,9126352.94117647,0.019033545704144617,132327.36764705883,634808.8235294118,4841014.705882353,0.4687784145560029,0.6878,0.0936,0.8589,0.4542,0.6983
89,175408.45070422534,20.0,1932450.704225352,0.18894963569265708,337490.661971831,2623774.647887324,1944422.5352112676,0.2734385360031826,0.2423,1.0142499999999999,0.2716,-0.0069,0.9018
90,1828430.7692307692,30.0,5299994.871794872,0.03462999306040375,169922.80512820513,1383958.9743589743,3770584.6153846155,0.4917717026327893,0.7594,0.0314,0.6869,0.2841,0.5735
91,1302330.0970873786,30.0,4491252.427184466,0.03223471376610081,127169.38834951456,180029.12621359224,2722106.796116505,0.4906413509493394,0.8524,0.0776,0.8095,0.3939,0.5747
92,147000.0,3.5,410500.0,0.03862154808869542,70976.75,0.0,11250.0,0.018812709030100336,2.3514,0.4537,0.6865,0.9726,0.92
93,980000.0,12.5,3078000.0,0.08340718954248366,255226.0,0.0,3060000.0,0.8483707101654526,1.0993,-0.0058,0.9958,0.0058,0.6797
94,172588.23529411765,13.5,2119529.411764706,0.023744206533708553,57076.882352941175,97235.29411764706,1115882.3529411764,0.2980501830408346,0.6742,0.7083,0.5661,0.4735,0.9282
95,-225000.0,15.5,-870500.0,0.05717143530891369,363667.5,3284331.8965517236,10500.0,0.0008482449408248172,0.6261,-0.5997,-0.0703,1.0121,1.0354
97,1484636.3636363635,3.5,2136454.5454545454,0.014059743364558938,52394.27272727273,7272.727272727273,1403181.8181818181,0.23933201017180425,0.8496,1.0142499999999999,0.3644,0.3432,0.6016
98,2819470.8095297236,11.0,13879430.555555556,0.0199833084758671,314867.0,1437500.0,8101500.0,0.33363533408833523,0.6282,-0.1465,0.9396,0.6449,0.7999
99,267673.9130434783,17.5,2342239.1304347827,0.07489147517841738,103797.95652173914,272717.39130434784,1316239.1304347827,0.443110047496725,0.5062,-0.039,0.7885,0.438,0.8069
100,1117482.3529411764,18.0,6126635.294117647,0.08457515489011358,311078.3647058823,208505.88235294117,4001935.294117647,0.6251131651075029,0.4271,0.4734,0.6481,0.0354,0.6962
101,1430857.142857143,30.0,7074857.142857143,0.026971375652466746,91533.14285714286,91857.14285714286,1201571.4285714286,0.16766001554806945,0.5195,-0.0005,0.9872,0.8302,0.5784
102,666250.0,4.5,3724500.0,0.01681607887336273,76838.55,363650.0,1027400.0,0.20962641039766583,1.1185,0.1047,0.7599,0.7242,0.8542
103,857606.6666666666,17.5,2806113.3333333335,0.04368880398964257,306965.98333333334,771970.0,2760560.0,0.43042065050533385,1.0884,1.0142499999999999,0.41,-0.0498,0.761
104,-155826.5306122449,12.5,4940979.591836735,0.09530916014112382,45207.663265306124,2396193.8775510206,844316.3265306122,0.09818587000633663,0.0557,0.2548,0.5746,0.8291,1.3285
105,1928367.6470588236,24.0,8163235.294117647,0.011406362377472305,92544.51470588235,36029.41176470588,3522191.1764705884,0.403988524246029,0.8936,0.2824,0.7769,0.48,0.7623
106,-484500.0,14.0,13879430.555555556,0.2082711557218187,441045.06678921566,46000.0,963500.0,0.8483707101654526,0.042170000000000006,-0.0016,0.9958,0.0288,1.4528
107,211500.0,9.0,856000.0,0.05197833682739343,61984.166666666664,0.0,466666.6666666667,0.46288642750867914,0.6931,-0.2796,0.8491,0.4548,0.8226
108,55428.57142857143,24.5,141785.7142857143,0.20624899786558384,282988.35714285716,649285.7142857143,262857.14285714284,0.28091603053435116,1.4161,0.6932,0.1515,-0.8539,0.9596
110,-193000.0,26.5,1912000.0,0.2082711557218187,441045.06678921566,283000.0,3108000.0,0.8483707101654526,0.5748,0.6347,0.5416,-0.6255,1.0788
111,-4166.666666666667,17.0,3206166.6666666665,0.1232200488997555,96594.25,1350000.0,4911916.666666667,0.6829299377816913,0.0953,0.7715,0.4458,-0.532,1.0053
112,1832666.6666666667,8.5,1863000.0,0.06846152494729445,441045.06678921566,2528333.3333333335,819000.0,0.10697026426923244,1.5307,1.0142499999999999,0.2434,0.5605,0.7796
113,1061250.0,23.5,2622208.3333333335,0.019340514132074233,98307.83333333333,84833.33333333333,1982708.3333333333,0.6103066603393656,1.5735,0.0272,0.8072,0.2439,0.7912
114,1938533.3333333333,21.0,6509666.666666667,0.012962562434661401,74396.46666666666,0.0,4553733.333333333,0.5526017733480033,0.8339,0.1975,0.79,0.3005,0.6289
